fecha;so2_validado;so2_preliminar;so2_no_validado;temperatura_media;fecha_temperatura_minima;temperatura_minima;fecha_temperatura_maxima;temperatura_maxima;mp_2_5_validado;mp_2_5_no_validado;mp_10_validado;mp_10_no_validado
180101;;;;19.7;130101;14.9;070101;27.7;6;;25;
180102;;;;19.6;030102;14.9;070102;25.0;4;;25;
180103;;;;19.8;970103;15.0;980103;25.1;6;;26;
180104;;;;19.7;930104;15.0;980104;25.5;6;;23;
180105;;;;19.9;030105;14.8;170105;26.8;7;;24;
180106;;;;20.0;940106;15.0;170106;25.8;6;;21;
180107;;;;20.0;130107;14.6;980107;27.9;6;;23;
180108;;;;20.1;130108;14.7;140108;27.2;4;;23;
180109;;;;20.1;110109;14.9;140109;26.5;4;;23;
180110;;;;20.0;960110;14.5;950110;25.9;3;;20;
180111;;;;20.0;110111;15.0;050111;26.7;3;;24;
180112;;;;20.0;950112;15.0;980112;26.0;5;;24;
180113;;;;20.2;120113;15.1;950113;26.6;5;;23;
180114;;;;20.3;990114;14.7;980114;26.1;4;;19;
180115;;;;20.4;120115;15.0;980115;26.3;3;;21;
180116;;;;20.4;120116;14.7;170116;26.8;4;;22;
180117;;;;20.6;120117;15.3;980117;31.8;6;;25;
180118;;;;20.5;990118;14.0;080118;27.4;5;;23;
180119;;;;20.4;990119;14.7;170119;28.6;6;;26;
180120;;;;20.4;110120;14.5;170120;27.7;4;;21;
180121;;;;20.4;990121;14.7;170121;30.3;4;;20;
180122;;;;20.4;960122;15.3;170122;28.3;4;;21;
180123;;;;20.3;910123;15.5;170123;28.4;5;;24;
180124;;;;20.4;020124;13.6;950124;26.4;5;;25;
180125;;;;20.3;090125;15.3;170125;26.1;6;;26;
180126;;;;20.4;020126;14.8;170126;29.3;7;;26;
180127;;;;20.4;050127;15.3;170127;27.5;8;;27;
180128;;;;20.4;070128;15.1;170128;26.5;7;;25;
180129;;;;20.6;070129;14.7;030129;27.3;8;;28;
180130;;;;20.5;970130;15.2;030130;28.2;5;;25;
180131;;;;20.3;050131;13.8;160131;26.4;5;;22;
180201;;;;20.5;050201;12.9;170201;27.0;7;;26;
180202;;;;20.3;050202;12.9;170202;27.6;;;25;
180203;;;;20.3;050203;14.5;980203;26.0;6;;23;
180204;;;;20.3;050204;14.0;980204;26.0;8;;26;
180205;;;;20.4;970205;14.9;130205;26.0;6;;25;
180206;;;;20.4;120206;14.7;900206;27.9;5;;26;
180207;;;;20.2;050207;14.2;030207;25.4;6;;24;
180208;;;;20.2;050208;14.5;130208;26.1;3;;21;
180209;;;;20.2;000209;14.8;980209;26.8;2;;27;
180210;;;;20.3;.;14.7;980210;26.7;4;;29;
180211;;;;20.3;000211;15.1;890211;26.0;9;;31;
180212;;;;20.1;960212;15.4;120212;27.5;8;;27;
180213;;;;20.2;000213;15.0;890213;25.6;8;;34;
180214;;;;20.2;050214;14.6;060214;26.8;9;;27;
180215;;;;20.3;960215;14.7;060215;26.1;11;;;26
180216;;;;20.3;960216;15.2;890216;25.6;7;;;0
180217;;;;20.1;050217;14.9;010217;25.1;6;;;0
180218;;;;20.1;000218;14.7;090218;25.7;3;;;0
180219;;;;20.1;000219;14.9;150219;29.1;2;;;30
180220;;;;20.1;900220;15.1;980220;25.6;6;;47;
180221;;;;20.1;130221;14.3;980221;27.7;5;;42;
180222;;;;20.0;910222;15.0;160222;28.0;8;;42;
180223;;;;20.0;070223;14.9;170223;27.6;8;;41;
